Topic,Date Published,Article Name,Author,Link
Account Abstraction,05/07/2015,On Abstraction,Vitalik Buterin,https://blog.ethereum.org/2015/07/05/on-abstraction/
Account Abstraction,25/01/2016,Spending gas from contract's balance - proposed optional opcode for a contract,Alex Beregszaszi,https://github.com/ethereum/EIPs/issues/61
Account Abstraction,21/11/2016,EIP-101 (Serenity): Currency and Crypto Abstraction,Vitalik Buterin,https://github.com/ethereum/EIPs/issues/28
Account Abstraction,01/11/2017,Tradeoffs in Account Abstraction Proposals,Vitalik Buterin,https://ethresear.ch/t/tradeoffs-in-account-abstraction-proposals/263
Account Abstraction,01/12/2017,"Account abstraction, miner data and auto-updating witnesses",Justin Drake,https://ethresear.ch/t/account-abstraction-miner-data-and-auto-updating-witnesses/332
Account Abstraction,01/03/2018,A new account type in abstraction,Vitalik Buterin,https://ethresear.ch/t/a-new-account-type-in-abstraction/1379
Account Abstraction,01/04/2018,A recap of where we are at on account abstraction,Vitalik Buterin,https://ethresear.ch/t/a-recap-of-where-we-are-at-on-account-abstraction/1721
Account Abstraction,01/04/2018,Application-layer account abstraction,Justin Drake,https://ethresear.ch/t/application-layer-account-abstraction/1734
Account Abstraction,01/12/2018,Layer 2 Gas Payment Abstraction,Vitalik Buterin,https://ethresear.ch/t/layer-2-gas-payment-abstraction/4513
Account Abstraction,01/02/2019,Maximally simple account abstraction without gas refunds,Vitalik Buterin,https://ethresear.ch/t/maximally-simple-account-abstraction-without-gas-refunds/5007
Account Abstraction,29/05/2019,EIP-86,Alex Beregszaszi,https://github.com/ethereum/EIPs/blob/master/EIPS/eip-86.md
Account Abstraction,01/02/2020,Implementing Account Abstraction as part of Eth1.x,Vitalik Buterin,https://ethereum-magicians.org/t/implementing-account-abstraction-as-part-of-eth1-x/4020
Account Abstraction,27/03/2020,Meta Transactions x Account Abstraction,Matt,https://hackmd.io/@matt/S1Jg85588
Account Abstraction,26/04/2020,"Account Abstraction, Stateless Mining Eth1.x/Eth2 Implementation, Rationale Document",Will Villanueva,https://hackmd.io/y7uhNbeuSziYn1bbSXt4ww?view
Account Abstraction,24/05/2020,AA Open Questions,Ansgar Dietrichs,https://hackmd.io/@adietrichs/Byd91DvKI
Account Abstraction,01/09/2020,"DoS Vectors in Account Abstraction (AA) or Validation Generalisation, a Case Study in Geth",Will Villanueva,https://ethresear.ch/t/dos-vectors-in-account-abstraction-aa-or-validation-generalization-a-case-study-in-geth/7937
Account Abstraction,01/09/2020,EIP-2938: Account Abstraction,Ansgar Dietrichs,https://ethereum-magicians.org/t/eip-2938-account-abstraction/4630
Account Abstraction,04/09/2020,EIP-2938: Account Abstraction,"Vitalik Buterin, Ansgar Dietrichs, Matt Garnett, Will Villanueva, Sam Wilson",https://eips.ethereum.org/EIPS/eip-2938
Account Abstraction,26/10/2020,EIP-2938: Account Abstraction Explained,Sam Wilson,https://hackmd.io/@SamWilsn/ryhxoGp4D
Account Abstraction,26/10/2020,Account Abstraction Beyond EIP-2938,Sam Wilson,https://hackmd.io/@SamWilsn/S1UQDOzBv#Read-write-Calls
Account Abstraction,19/11/2020,Account Abstraction (EIP-2938): Why and What,Rajeev Gopalkrishna,https://our.status.im/account-abstraction-eip-2938/
Account Abstraction,01/07/2021,Proposal for account abstraction via alternative mempool,Vitalik Buterin,https://notes.ethereum.org/@vbuterin/alt_abstraction
Client Development,20/03/2020,Introducing the snap/1 state snapshot protocol,Peter Szilagyi,https://github.com/ethereum/devp2p/pull/145
Client Development,01/07/2020,ETH1 Architecture Working Group,Alexey Akhunov,https://ethereum-magicians.org/t/eth1-architecture-working-group/4424
Client Development,01/07/2020,"Simpler Ethereum Sync: Major/Minor Statesnapshots, blockchain files, receipt files",Alexey Akhunov,https://ethresear.ch/t/simpler-ethereum-sync-major-minor-state-snapshots-blockchain-files-receipt-files/7672
Client Development,10/07/2020,Measuring Ethereum Critical Installations,Alexey Akhunov,https://ethereum-magicians.org/t/measuring-ethereum-critical-installations/4412
Client Development,15/07/2020,ETH1 Architecture Working Group - First Call,Alexey Akhunov,https://ethereum-magicians.org/t/eth1-architecture-working-group-first-call-for-proposals/4446
Client Development,20/08/2020,The State of Client Diversity in Ethereum,Pooja Ranjan,https://medium.com/ethereum-cat-herders/the-state-of-client-diversity-in-ethereum-2ca915a3d768
Client Development,16/09/2020,Reorg Caps and Confirmation Delays: A Primer on Finality Arbitration,Ethereum Classic Labs,https://medium.com/etc-core/reorg-caps-and-confirmation-delays-a-primer-on-finality-arbitration-cc9284ea9727
Client Development,29/09/2020,ETH Total Supply,Jordan Last,https://github.com/lastmjs/eth-total-supply
"Client Development, State Expiry",14/04/2021,Ethereum Wire Protocol,Felix Lange,https://github.com/ethereum/devp2p/blob/master/caps/eth.md#block-propagation
Cryptography,20/09/2012,Faster Batch Forgery Identification,"Daniel J. Bernstein, Jeroen Doumen, Tanja Lange, Jan-Jaap Oosterwijk",https://eprint.iacr.org/2012/549
Cryptography,09/11/2017,"STARKs, Part I: Proofs with Polynomials",Vitalik Buterin,https://vitalik.ca/general/2017/11/09/starks_part_1.html
Cryptography,13/04/2019,Fast constant-time gcd computation and modular inversion,Daniel J. Bernstein and Bo-Yin Yang,https://eprint.iacr.org/2019/266
Cryptography,01/07/2020,A new efficient constant-time hashing to some Barreto-Naehrig curves (including BN256 and BN512),Dimitri Koshelev,https://ethresear.ch/t/a-new-efficient-constant-time-hashing-to-some-barreto-naehrig-curves-including-bn256-and-bn512/7640
Cryptography,15/07/2020,"Bitcoin: ""safegcd"" field and scalar inversion",Peter Dettman,https://github.com/bitcoin-core/secp256k1/pull/767
Cryptography,23/08/2020,Optimised Binary GCD for Modular Inversion,Thomas Pornin,https://eprint.iacr.org/2020/972
Cryptography,31/01/2021,"Surveying Precomputation Methods in Cryptography, Request for Help",Paul D,https://ethresear.ch/t/surveying-precomputation-methods-in-cryptography-request-for-help/8606
